Kommune;Region
København;Region Hovedstaden
Frederiksberg;Region Hovedstaden
Ballerup;Region Hovedstaden
Brøndby;Region Hovedstaden
Dragør;Region Hovedstaden
Gentofte;Region Hovedstaden
Gladsaxe;Region Hovedstaden
Glostrup;Region Hovedstaden
Herlev;Region Hovedstaden
Albertslund;Region Hovedstaden
Hvidovre;Region Hovedstaden
Høje-Taastrup;Region Hovedstaden
Lyngby-Taarbæk;Region Hovedstaden
Rødovre;Region Hovedstaden
Ishøj;Region Hovedstaden
Tårnby;Region Hovedstaden
Vallensbæk;Region Hovedstaden
Furesø;Region Hovedstaden
Allerød;Region Hovedstaden
Fredensborg;Region Hovedstaden
Helsingør;Region Hovedstaden
Hillerød;Region Hovedstaden
Hørsholm;Region Hovedstaden
Rudersdal;Region Hovedstaden
Egedal;Region Hovedstaden
Frederikssund;Region Hovedstaden
Greve;Region Sjælland
Køge;Region Sjælland
Halsnæs;Region Hovedstaden
Roskilde;Region Sjælland
Solrød;Region Sjælland
Gribskov;Region Hovedstaden
Odsherred;Region Sjælland
Holbæk;Region Sjælland
Faxe;Region Sjælland
Kalundborg;Region Sjælland
Ringsted;Region Sjælland
Slagelse;Region Sjælland
Stevns;Region Sjælland
Sorø;Region Sjælland
Lejre;Region Sjælland
Lolland;Region Sjælland
Næstved;Region Sjælland
Guldborgsund;Region Sjælland
Vordingborg;Region Sjælland
Bornholm;Region Hovedstaden
Middelfart;Region Syddanmark
Assens;Region Syddanmark
Faaborg-Midtfyn;Region Syddanmark
Kerteminde;Region Syddanmark
Nyborg;Region Syddanmark
Odense;Region Syddanmark
Svendborg;Region Syddanmark
Nordfyns;Region Syddanmark
Langeland;Region Syddanmark
Ærø;Region Syddanmark
Haderslev;Region Syddanmark
Billund;Region Syddanmark
Sønderborg;Region Syddanmark
Tønder;Region Syddanmark
Esbjerg;Region Syddanmark
Fanø;Region Syddanmark
Varde;Region Syddanmark
Vejen;Region Syddanmark
Aabenraa;Region Syddanmark
Fredericia;Region Syddanmark
Horsens;Region Midtjylland
Kolding;Region Syddanmark
Vejle;Region Syddanmark
Herning;Region Midtjylland
Holstebro;Region Midtjylland
Lemvig;Region Midtjylland
Struer;Region Midtjylland
Syddjurs;Region Midtjylland
Norddjurs;Region Midtjylland
Favrskov;Region Midtjylland
Odder;Region Midtjylland
Randers;Region Midtjylland
Silkeborg;Region Midtjylland
Samsø;Region Midtjylland
Skanderborg;Region Midtjylland
Århus;Region Midtjylland
Ikast-Brande;Region Midtjylland
Ringkøbing-Skjern;Region Midtjylland
Hedensted;Region Midtjylland
Morsø;Region Nordjylland
Skive;Region Midtjylland
Thisted;Region Nordjylland
Viborg;Region Midtjylland
Brønderslev;Region Nordjylland
Frederikshavn;Region Nordjylland
Vesthimmerlands;Region Nordjylland
Læsø;Region Nordjylland
Rebild;Region Nordjylland
Mariagerfjord;Region Nordjylland
Jammerbugt;Region Nordjylland
Ålborg;Region Nordjylland
Hjørring;Region Nordjylland
